user_id,animal,frequency,est_i,estimation
96109056,rabbit,2,0,57
96109056,rabbit,2,1,45
96109056,rabbit,2,2,65
96109056,guinea_pig,4,0,58
96109056,guinea_pig,4,1,56
96109056,guinea_pig,4,2,64
96109056,mouse,3,0,54
96109056,mouse,3,1,63
96109056,mouse,3,2,59
96109056,pigeon,1,0,57
96109056,pigeon,1,1,63
96109056,pigeon,1,2,65
37903298,pigeon,1,0,13
37903298,pigeon,1,1,58
37903298,pigeon,1,2,94
37903298,mouse,4,0,14
37903298,mouse,4,1,31
37903298,mouse,4,2,15
37903298,rabbit,2,0,43
37903298,rabbit,2,1,64
37903298,rabbit,2,2,66
37903298,guinea_pig,3,0,64
37903298,guinea_pig,3,1,60
37903298,guinea_pig,3,2,86
15606056,pigeon,4,0,71
15606056,pigeon,4,1,83
15606056,pigeon,4,2,92
15606056,guinea_pig,3,0,35
15606056,guinea_pig,3,1,15
15606056,guinea_pig,3,2,15
15606056,rabbit,2,0,62
15606056,rabbit,2,1,73
15606056,rabbit,2,2,56
15606056,mouse,1,0,12
15606056,mouse,1,1,78
15606056,mouse,1,2,94
75758611,guinea_pig,1,0,60
75758611,guinea_pig,1,1,100
75758611,guinea_pig,1,2,100
75758611,rabbit,2,0,65
75758611,rabbit,2,1,70
75758611,rabbit,2,2,60
75758611,pigeon,3,0,20
75758611,pigeon,3,1,70
75758611,pigeon,3,2,30
75758611,mouse,4,0,60
75758611,mouse,4,1,100
75758611,mouse,4,2,65
55123944,pigeon,2,0,90
55123944,pigeon,2,1,74
55123944,pigeon,2,2,70
55123944,mouse,1,0,92
55123944,mouse,1,1,85
55123944,mouse,1,2,63
55123944,rabbit,3,0,70
55123944,rabbit,3,1,66
55123944,rabbit,3,2,60
55123944,guinea_pig,4,0,52
55123944,guinea_pig,4,1,51
55123944,guinea_pig,4,2,50
62253257,guinea_pig,3,0,35
62253257,guinea_pig,3,1,60
62253257,guinea_pig,3,2,30
62253257,pigeon,1,0,95
62253257,pigeon,1,1,85
62253257,pigeon,1,2,100
62253257,mouse,2,0,90
62253257,mouse,2,1,85
62253257,mouse,2,2,75
62253257,rabbit,4,0,100
62253257,rabbit,4,1,100
62253257,rabbit,4,2,80
33379046,mouse,2,0,65
33379046,mouse,2,1,55
33379046,mouse,2,2,70
33379046,rabbit,4,0,85
33379046,rabbit,4,1,40
33379046,rabbit,4,2,55
33379046,pigeon,1,0,80
33379046,pigeon,1,1,68
33379046,pigeon,1,2,75
33379046,guinea_pig,3,0,40
33379046,guinea_pig,3,1,42
33379046,guinea_pig,3,2,25
33975488,mouse,1,0,75
33975488,mouse,1,1,65
33975488,mouse,1,2,65
33975488,rabbit,4,0,60
33975488,rabbit,4,1,55
33975488,rabbit,4,2,60
33975488,guinea_pig,2,0,65
33975488,guinea_pig,2,1,55
33975488,guinea_pig,2,2,55
33975488,pigeon,3,0,50
33975488,pigeon,3,1,40
33975488,pigeon,3,2,45
33975488,pigeon,3,0,45
33975488,pigeon,3,0,45
19961533,guinea_pig,4,0,40
19961533,guinea_pig,4,1,70
19961533,guinea_pig,4,2,80
19961533,pigeon,3,0,55
19961533,pigeon,3,1,60
19961533,pigeon,3,2,55
19961533,rabbit,2,0,64
19961533,rabbit,2,1,54
19961533,rabbit,2,2,49
19961533,mouse,1,0,46
19961533,mouse,1,1,52
19961533,mouse,1,2,70
72244937,pigeon,4,0,90
72244937,pigeon,4,1,100
72244937,pigeon,4,2,60
72244937,mouse,2,0,70
72244937,mouse,2,1,60
72244937,mouse,2,2,65
72244937,guinea_pig,3,0,40
72244937,guinea_pig,3,1,30
72244937,guinea_pig,3,2,20
72244937,rabbit,1,0,100
72244937,rabbit,1,1,100
72244937,rabbit,1,2,100
70317634,guinea_pig,3,0,50
70317634,guinea_pig,3,1,25
70317634,guinea_pig,3,2,70
70317634,mouse,2,0,50
70317634,mouse,2,1,60
70317634,mouse,2,2,80
70317634,rabbit,1,0,85
70317634,rabbit,1,1,70
70317634,rabbit,1,2,90
70317634,pigeon,4,0,85
70317634,pigeon,4,1,95
70317634,pigeon,4,2,95
88241403,pigeon,4,0,20
88241403,pigeon,4,1,30
88241403,pigeon,4,2,20
88241403,rabbit,1,0,30
88241403,rabbit,1,1,35
88241403,rabbit,1,2,30
88241403,guinea_pig,3,0,25
88241403,guinea_pig,3,1,30
88241403,guinea_pig,3,2,35
88241403,mouse,2,0,35
88241403,mouse,2,1,35
88241403,mouse,2,2,35
73802049,guinea_pig,2,0,50
73802049,guinea_pig,2,1,70
73802049,guinea_pig,2,2,80
73802049,rabbit,3,0,30
73802049,rabbit,3,1,40
73802049,rabbit,3,2,50
73802049,mouse,4,0,60
73802049,mouse,4,1,85
73802049,mouse,4,2,90
73802049,pigeon,1,0,60
73802049,pigeon,1,1,75
73802049,pigeon,1,2,85
04499780,mouse,3,0,20
04499780,mouse,3,1,40
04499780,mouse,3,2,10
04499780,guinea_pig,2,0,75
04499780,guinea_pig,2,1,45
04499780,guinea_pig,2,2,50
04499780,pigeon,1,0,100
04499780,pigeon,1,1,100
04499780,pigeon,1,2,100
04499780,rabbit,4,0,100
04499780,rabbit,4,1,90
04499780,rabbit,4,2,60
13559933,rabbit,3,0,40
13559933,rabbit,3,1,30
13559933,rabbit,3,2,26
13559933,pigeon,2,0,74
13559933,pigeon,2,1,62
13559933,pigeon,2,2,66
13559933,mouse,1,0,68
13559933,mouse,1,1,77
13559933,mouse,1,2,76
13559933,guinea_pig,4,0,77
13559933,guinea_pig,4,1,60
13559933,guinea_pig,4,2,82
61243197,pigeon,2,0,78
61243197,pigeon,2,1,58
61243197,pigeon,2,2,78
61243197,rabbit,3,0,69
61243197,rabbit,3,1,57
61243197,rabbit,3,2,58
61243197,guinea_pig,4,0,43
61243197,guinea_pig,4,1,29
61243197,guinea_pig,4,2,37
61243197,mouse,1,0,33
61243197,mouse,1,1,37
61243197,mouse,1,2,39
49534087,mouse,4,0,90
49534087,mouse,4,1,91
49534087,mouse,4,2,95
49534087,rabbit,1,0,35
49534087,rabbit,1,1,34
49534087,rabbit,1,2,60
49534087,guinea_pig,3,0,18
49534087,guinea_pig,3,1,40
49534087,guinea_pig,3,2,20
49534087,pigeon,2,0,18
49534087,pigeon,2,1,42
49534087,pigeon,2,2,63
18645981,mouse,4,0,75
18645981,mouse,4,1,15
18645981,mouse,4,2,30
18645981,pigeon,2,0,35
18645981,pigeon,2,1,30
18645981,pigeon,2,2,40
18645981,rabbit,1,0,85
18645981,rabbit,1,1,61
18645981,rabbit,1,2,45
18645981,guinea_pig,3,0,40
18645981,guinea_pig,3,1,30
18645981,guinea_pig,3,2,40
86676667,mouse,2,0,80
86676667,mouse,2,1,92
86676667,mouse,2,2,60
86676667,pigeon,3,0,35
86676667,pigeon,3,1,60
86676667,pigeon,3,2,70
86676667,rabbit,1,0,35
86676667,rabbit,1,1,50
86676667,rabbit,1,2,60
86676667,guinea_pig,4,0,40
86676667,guinea_pig,4,1,40
86676667,guinea_pig,4,2,25
86794382,pigeon,3,0,20
86794382,pigeon,3,1,70
86794382,pigeon,3,2,40
86794382,mouse,1,0,90
86794382,mouse,1,1,85
86794382,mouse,1,2,80
86794382,rabbit,2,0,90
86794382,rabbit,2,1,70
86794382,rabbit,2,2,75
86794382,guinea_pig,4,0,100
86794382,guinea_pig,4,1,95
86794382,guinea_pig,4,2,98
06245779,mouse,2,0,70
06245779,mouse,2,1,65
06245779,mouse,2,2,65
06245779,guinea_pig,1,0,85
06245779,guinea_pig,1,1,60
06245779,guinea_pig,1,2,55
06245779,rabbit,3,0,70
06245779,rabbit,3,1,50
06245779,rabbit,3,2,55
06245779,pigeon,4,0,55
06245779,pigeon,4,1,45
06245779,pigeon,4,2,50
32201798,pigeon,4,0,99
32201798,pigeon,4,1,95
32201798,pigeon,4,2,95
32201798,mouse,3,0,10
32201798,mouse,3,1,60
